label,description,category,subject,placeLabel,placeLocality,timeBegin,timeEnd,url
Event name: Cinéma Valdeblore, Event description: Mardi 2 janvier 2018 : Séances de cinéma à 17h30 « COCO » et 20h30 « La deuxième étoile » à La Bolline.,Event category: ,Event subject: ,Event place: La Bolline Valdeblore,Event place location: La Bolline Valdeblore,Event time begin: 2018-01-02T17:30:00Z,Event time end: 2018-01-02T22:30:00Z,http://data.linkedevents.org/event/00e684c0-9c6b-3cd1-8142-5ff0523cb0d9
Event name: Family tour from Cannes  Amusement Parks and attractions," Event description: Your guide will meet you at the agreed place and take you for a ride to the best kids’ destinations on the French Riviera. During this ‘beach-off day’ we would take you to recreational water parks and zoos – it will all take 7 hours. It can start whether at 9 am or 10 am – it’s up to you. As this is a private tour, we’ll be happy to adopt it to your individual expectations. Your guide will meet you at the agreed place and take you for a ride to the best kids’ destinations on the French Riviera. During this ‘beach-off day’ we would take you to recreational water parks and zoos – it will all take 7 hours. It can start whether at 9 am or 10 am – it’s up to you. As this is a private tour, we’ll be happy to adopt it to your individual expectations. Itinerary – First Option

All attractions in one for all family members – the Marineland is the biggest marine zoo park in Europe that accommodates some 4000 different species of animals. In large pools you will see shows of killer whales, dolphins or sea lions. In the 98-foot tunnel you can visit the spectacular exhibition of tiger sharks.
In the largest aqua park on the Riviera the Aqua Splash there are huge pools with waves, water slides, space boat and pirates island – all of them available at once. For the smaller kids there is something special called Little Farm of the Wild West . That’s something taking you to the mood of American Mississipi River with its boats, carriages, pony rodeos and much more.

Second option

If you a big fan of flora and fauna there is another way to spend the day with your kids. Park Phoenix – large dome structure on a 17-acres of land within Nice borders with over 1500 species of plants from all over the world. In this giant tropical greenhouse you will also meet hundreds of colorful parrots and other tropical birds living in seven different climatical zones. Don’t be surprised seeing some carnivorous plants and butterflies as well.  
Next we would go to Monaco to visit the majestic Temple of the Sea – Oceanographic Museum of Monaco. Breathtaking views in both – inside and outside the building and the biggest collection of marine world. Interactive tours and unforgettable impressions of undersea. And of course the yellow submarine, the real one…
After you finish the visit our guide takes you back to Cannes


7 heures

608,00
551.80
725.32",Event category: Circuits privés,Event subject: ,Event place: Cannes,Event place location: Cannes,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/00e8c20d-8ef6-30d7-a8f8-98dfe6d045e7
Event name: Découverte de notre atelier ," Event description: Dans notre atelier, nous travaillons la céramique. Nous seront ravie de vous montrer toutes les étapes, du travail de la terre au façonnage du produit en passer par le travail de l'émail et la cuisson. Vous risquez d'être agréablement surpris de voir la précision que cela demande.",Event category: Activités,Event subject: ,Event place: bleu-dargile,Event place location: Vallauris,Event time begin: 2018-07-24T17:23:00Z,Event time end: 2020-07-24T17:23:00Z,http://data.linkedevents.org/event/00f7c5da-04b3-3e81-acae-97f905059c72
Event name: Basket Jeep Elite : Sharks Antibes - SIG Strasbourg," Event description: Lieu: AzurArena Antibes - Rue Henri LaugierDate: 5 Octobre 2018 Basket Jeep Elite
Vendredi 5 octobre
Les Sharks d'Antibes reçoivent la SIG Strasbourg dans le cadre du championnat de France de basket Jeep Elite.Coup d'envoi à 20h30 à l'Azurarena.
Places à partir de 5 €.Billetterie sur sharks-antibes.com ou sur place les soirs de match.Infos au 04.93.33.32.32.",Event category: ,Event subject: ,Event place: AzurArena Antibes,Event place location: Antibes,Event time begin: 2018-10-05T00:00:00Z,Event time end: 2018-10-05T23:59:00Z,http://data.linkedevents.org/event/0128475d-a21f-3010-b7ee-ba3654c4b433
Event name: Handball Nationale 1 masculine," Event description: Lieu: Salle Saint Claude - 288 Chemin de Saint-ClaudeDate: 3 Octobre 2020 Championnat de France Nationale 1 masculine
Samedi 3 octobre
En championnat de France Nationale 1, l'OAJLP reçoit le Montpellier Handball.
Coup d'envoi à 20h à la Salle Saint Claude. Entrée libre.",Event category: ,Event subject: ,Event place: Salle Saint Claude,Event place location: Antibes,Event time begin: 2020-10-03T00:00:00Z,Event time end: 2020-10-03T23:59:00Z,http://data.linkedevents.org/event/012f4690-a21b-36cf-9e3d-96be8f09e461
Event name: Handball - Coupe de France féminine," Event description: Lieu: Salle Saint Claude - 288 Chemin de Saint-ClaudeDate: 29 Septembre 2017 Coupe de France féminine de Handball
Vendredi 29 septembre
L'OAJLP (Nationale 2) reçoit l'AS Cannes Mandelieu Handball (Nationale 1) pour le compte du 2e tour de la Coupe de France.
Coup d'envoi à 20h15. Entrée libre salle Saint Claude.",Event category: ,Event subject: ,Event place: Salle Saint Claude,Event place location: Antibes,Event time begin: 2017-09-29T00:00:00Z,Event time end: 2017-09-29T23:59:00Z,http://data.linkedevents.org/event/015bdac5-470b-3538-a8b0-cb7595eec082
Event name: Gardes Médecins et pharmacies de décembre en Vésubie, Event description: ,Event category: ,Event subject: ,Event place: Vésubie,Event place location: Vésubie,Event time begin: 2018-12-01T07:00:00Z,Event time end: 2018-12-31T20:00:00Z,http://data.linkedevents.org/event/0175e8b8-a91f-3d2b-bf87-fac175505c3f
"Event name: Exposition ""Gueules d'acteurs"" au Musée Peynet"," Event description: Lieu: Musée Peynet et du dessin humoristique - Place NationaleDate: 18 Mai 2019  - 31 Octobre 2019 Exposition ""Gueules d'acteurs"" 
Du 18 mai au 31 octobre
« Gueules d’acteurs » est un hommage à ceux que l’on a appelé les « monstres sacrés » du 7e art.Les six artistes exposés capturent avec des techniques très diverses, du portrait à la caricature, du noir et blanc à la couleur, de l’instantané cinématographique à la BD, les gourmandises que ces « gueules » incontournables, dégustées sur petit ou grand écran, nous ont offert comme autant d’impérissables souvenirs.Cette exposition fait appel à la mémoire et à l’émotion. Les artistes, professionnels et amateurs, Da Costa, Le Fur, Ricord, Mulatier, Munier et Loirat vous invitent à Antibes en une pléiade de palmes graphique
Musée Peynet et du dessin humoristique, Place Nationale.Ouvert du mardi au dimanche de 10h à 12h30 et de 14h à 18h.Plein tarif : 3 €, demi-tarif : 1,50 €. Gratuit pour les moins de 18 ans et besoins spécifiques.",Event category: ,Event subject: ,Event place: Musée Peynet et du dessin humoristique,Event place location: Antibes,Event time begin: 2019-05-18T00:00:00Z,Event time end: 2019-10-31T23:59:00Z,http://data.linkedevents.org/event/0184cb55-d653-3b44-9996-301b588498ae
Event name: Université des Savoirs - « Zao Wou Ki : un monde éblouissant à l’envers des paupières »," Event description: Lieu: Salle des associations - 2 cours MassénaDate: 15 Janvier 2019 Université des savoirs
Mardi 15 janvier
« Zao Wou Ki : un monde éblouissant à l’envers des paupières » par Christian Loubet
Formé dans la tradition de la peinture Chinoise, Zao Wou-Ki, séduit par les impressionnistes, s’installe en France en 1948 (naturalisé en 1964). Marqué par Michaux, Klee et Miro, il évolue vers une abstraction lyrique et gestuelle éblouissante.
Cours à 18 h, Salle des Associations, Cours MassénaPrix par cours : 6 €, le cycle entier 65€Renseignements et inscriptions: c [DOT] usaj [AT] orange [DOT] fr",Event category: ,Event subject: ,Event place: Salle des associations,Event place location: Antibes,Event time begin: 2019-01-15T00:00:00Z,Event time end: 2019-01-15T23:59:00Z,http://data.linkedevents.org/event/01a0525b-7b90-393f-8001-c1e4f94ccf3e
Event name: Randonnée pédestre d'une demi-journée à la découverte de la gastronomie et des vins à Nice," Event description: Optez pour une randonnée pédestre d'une demi-journée à la découverte de la gastronomie et des vins de Nice et dégustez plusieurs spécialités locales. Obtenez un aperçu des saveurs de la cuisine niçoise et plongez-vous dans l'histoire, la culture et le patrimoine de la ville pendant que vous visitez des lieux que très peu de touristes trouvent. Cette excursion est idéale pour les gastronomes ainsi que pour les personnes simplement en quête d'une merveilleuse aventure culinaire. Limitée à 12 personnes, cette excursion comprend également un guide, les transports en commun, et les dégustations.  Optez pour une randonnée pédestre d'une demi-journée à la découverte de la gastronomie et des vins de Nice et dégustez plusieurs spécialités locales. Obtenez un aperçu des saveurs de la cuisine niçoise et plongez-vous dans l'histoire, la culture et le patrimoine de la ville pendant que vous visitez des lieux que très peu de touristes trouvent. Cette excursion est idéale pour les gastronomes ainsi que pour les personnes simplement en quête d'une merveilleuse aventure culinaire. Limitée à 12 personnes, cette excursion comprend également un guide, les transports en commun, et les dégustations.  Retrouvez votre guide à l'Opéra Plage à Nice pour commencer votre visite de 4 heures. Profitez de 9 dégustations minimum et de 3 arrêts pour une boisson, incluant :  le marché niçois la boutique préférée de la reine Victoria Socca les Petits Farcis la pissaladière  Découvrez le marché local et ses boutiques, restaurants et cafés tandis que vous goûtez des blettes, des fruits confits, de l'huile d'olive, des truffes blanches, du vin de la Côte d'Azur, et bien plus encore. Découvrez les bienfaits de la cuisine méditerranéenne et la culture de la région. Votre visite se terminera dans la vieille ville de Nice, à seulement 5 minutes à pied du point de départ.

4 heures

65,00
58.99
77.54",Event category: Circuit culinaire et gastronomique,Event subject: ,Event place: Nice,Event place location: Nice,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/01c62b7c-b687-3e62-95e8-b2bd739a645d
Event name: Stage de Nihon Tai Jitsu à Roquebillière, Event description: ,Event category: ,Event subject: ,Event place: Roquebillière,Event place location: Roquebillière,Event time begin: 2018-02-25T09:00:00Z,Event time end: 2018-02-25T09:00:00Z,http://data.linkedevents.org/event/01cfbbdb-369c-39d9-992c-1b77d6bff8b4
Event name: Soirée Népalaise," Event description: Soirée Népalaise à l'hôtel du Grand Capelet, conférence et repas, réservations au 04.93.03.02.19.77",Event category: ,Event subject: ,"Event place: Hotel du grand capelet, Belvédère La Gordolasque","Event place location: Hotel du grand capelet, Belvédère La Gordolasque",Event time begin: 2018-07-28T18:00:00Z,Event time end: 2018-07-28T22:00:00Z,http://data.linkedevents.org/event/01d14e36-1371-3b3e-807b-eb173b0ef7c5
Event name: VIDE GRENIER - DIMANCHE 27 AOUT 2017," Event description: VIDE GRENIER
Dimanche 27 Août 2017
Inscription en Mairie
04 93 77 20 02
www.mairie-lerouret.fr",Event category: Manifestations commerciales,Event subject: Manifestations commerciales,Event place: PLACE DE LA LIBERATION,Event place location: Le Rouret,Event time begin: 2017-08-27T00:00:00Z,Event time end: 2017-08-27T00:00:00Z,http://data.linkedevents.org/event/01ddf272-3fca-385c-abee-8d58d935b279
"Event name: Exposition ""La part féminine de l’École de Nice"""," Event description: Lieu: Médiathèque Albert Camus - 19 Boulevard Gustave ChancelDate: 25 Juin 2019  - 20 Septembre 2019 Exposition ""La part féminine de l’École de Nice""
Du 25 juin au 20 septembre
Exposition d’oeuvres peintes, collages et sculptures de Nivese, une artiste atypique, et de photographies de Frédéric Altmann, du Nouveau Réalisme à l’École de Nice.Présentation de livres d’artistes, de carnets de croquis et diffusion en continu du film À la recherche de l’école de Nice de Pierre Marchou.Assistante de César, Nivese, est la seule femme représentée dans l’École de Nice, courant artistique foisonnant et épris de liberté qui s’est développé dans les années 1960. Le mouvement a regroupé de nombreux artistes internationaux : Yves Klein, Ben, Arman, César, Jean Mas et bien d’autres. Parmi eux, une jeune femme débarquée en 1973 et qui a vécu de nombreuses vies. Née en Croatie, elle a séjourné en Belgique jusqu'à l'âge de 24 ans. Femme au fort caractère et douée d'un grand talent, elle s’impose comme une figure de la scène artistique niçoise et internationale. Elle travaille le bois, le métal, fait des collages et aime par-dessus tout jouer avec l’ombre et la lumière.
Accès libre. Hall d'exposition niveau 0Médiathèque Camus, 19 Boulevard ChancelTel : 04 92 19 75 80",Event category: ,Event subject: ,Event place: Médiathèque Albert Camus,Event place location: Antibes,Event time begin: 2019-06-25T00:00:00Z,Event time end: 2019-09-20T23:59:00Z,http://data.linkedevents.org/event/021f9efa-dd40-36f8-b453-68d9ff3a5782
Event name: Les Soirées Estivales du Département 06 - Valdeblore," Event description: Dimanche 16 juillet : Les Soirées Estivales du Département 06, ""Compagnie Corps et Danse"", 21h, chapiteau de St Dalmas.",Event category: ,Event subject: ,Event place: St Dalmas Valdeblore,Event place location: St Dalmas Valdeblore,Event time begin: 2017-07-16T21:00:00Z,Event time end: 2017-07-16T21:00:00Z,http://data.linkedevents.org/event/023ce852-a002-3902-9b5f-18375a87de2e
